title,company,location,url,description,source,experience,salary
Billing Engineer,Larsen & Toubro,"Vadodara, Gujarat, India",https://in.linkedin.com/jobs/view/billing-engineer-at-larsen-toubro-4114701616?position=1&pageNum=0&refId=YZbBN9Eh5Lv%2FNSl1yApDDA%3D%3D&trackingId=UknufhmJzIHYu6%2BDB7FqUg%3D%3D,"Prepare and submit accurate, timely, and detailed bills (interim and final) in compliance with contract terms, project scope, and project timelines.
Ensure that invoices reflect the correct work completed, including materials, labour, and other costs.
Coordinate with the project team and subcontractors to verify work completed and correct any discrepancies.
Measure and record quantities of work completed on-site, ensuring all documentation is precise and aligned with the contract.
Review and verify work completed, using project drawings, specifications, and site conditions to ensure proper measurement.
Ensure that billing matches the actual work completed and that any variances are properly justified.
Review Work order terms and conditions to ensure accurate billing adjustments for changes in scope or variations.
Coordinate with subcontractors to resolve any billing-related issues or disputes.
Identify and process variations or changes in the scope of work, ensuring that change orders are accurately documented and billed.
Coordinate with the project management team to capture all additional costs arising from changes in work.
Maintain and organize project billing documents, including work orders, Amendments, Empanelment etc.
Prepare and present regular billing reports and financial updates for senior management.
Ensure compliance with all internal processes, industry standards, and legal regulations in all aspects of billing.
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Information Technology
Industries
Executive Offices
Referrals increase your chances of interviewing at Larsen & Toubro by 2x
See who you know",LinkedIn,,
CA1,Larsen & Toubro,"Vadodara, Gujarat, India",https://in.linkedin.com/jobs/view/ca1-at-larsen-toubro-4112935504?position=2&pageNum=0&refId=YZbBN9Eh5Lv%2FNSl1yApDDA%3D%3D&trackingId=deUP40S7Su2pjjxjHJCX3g%3D%3D,"Financial Reporting and Auditing:
Prepare monthly, quarterly, and yearly financial statements and ensure they are audited in compliance with relevant accounting standards.
Prepare financial reports in HFM (Hyperion Financial Management) and fill the required annexures in Hyperion for consolidation and submission.
Handle day-to-day GL-related accounting activities to ensure accurate and timely accounting entries.
Management Information Systems (MIS) and Reporting:
Prepare monthly MIS statements and other financial reports for corporate and top management.
Calculate RSV (Revenue Share Value) and prepare various MIS reports for management analysis.
Assist in the preparation of the monthly performance note, summarizing key financial results and variances.
Cost Monitoring and Project Accounting:
Scrutinize cost bookings to ensure accuracy and adherence to budget in projects and Work Breakdown Structures (WBS).
Monitor and track cost bookings to ensure proper allocation and adherence to project budgets.
Customer Accounting and Reconciliation:
Handle customer-related accounting, including preparation of outstanding reports, customer clearing, and follow-up on customer outstanding balances.
Book inter-unit advices and ensure balance confirmation from other intercompany (IC) transactions.
Budgeting:
Manage the yearly budgeting exercise by compiling and consolidating data from various projects and departments.
Prepare the budget presentation, ensuring that all relevant financial data is accurately represented and aligned with corporate goals.
Tax Audit and Compliance:
Assist in the tax audit process and prepare the advance tax working, ensuring compliance with tax regulations.
Work closely with the tax team to facilitate audits and ensure timely filing of tax returns.
Show less
Seniority level
Not Applicable
Employment type
Full-time
Job function
Other
Industries
Executive Offices
Referrals increase your chances of interviewing at Larsen & Toubro by 2x
See who you know",LinkedIn,,
Human Resource Administrator,GrowExx,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/human-resource-administrator-at-growexx-4154047909?position=1&pageNum=0&refId=%2BQFmj1OBG1KMkPequz8nig%3D%3D&trackingId=Hk8KXreBIUo4bU8NOrHRUg%3D%3D,"Growexx is seeking an HR Administrator to oversee the daily administrative functions of our office, ensuring efficiency, organization, and a smooth workplace environment. This role encompasses managing office supplies, coordinating meetings, handling documentation, and providing general support to staff and management. The Office Administrator is key to maintaining a productive and organized environment, supporting Growexx’s broader business goals.

Key Responsibilities

Ensure a well-organized and efficient office environment by stocking supplies, maintaining equipment functionality, and keeping the office space clean and well-arranged.
Coordinate with vendors for office supplies, IT equipment, and maintenance services to support office needs.
Provide administrative support to senior management and teams, including scheduling meetings, managing calendars, and preparing reports.
Maintain employee files and records in electronic and paper form.
Provide support to team in Payroll related work, compensation and benefit plans.
Organize and maintain files, records, and databases with an emphasis on accuracy, confidentiality, and easy retrieval.
Serve as the first point of contact for visitors, clients, and employees, managing all incoming and outgoing communications.
Support the planning and logistics for company events, meetings, and conferences, including venue booking, catering, and transportation arrangements.
Collaborate with IT and facilities teams to ensure office equipment is functional, including managing security systems and protocols.
Oversee procurement processes, manage purchase orders, and assist with office budget management and tracking.
Ensure compliance with health and safety regulations, organize safety drills, and manage office first aid supplies.
Arrange travel and accommodation for staff, preparing detailed travel itineraries when needed.
Maintain employee files and records in electronic and paper form

Key Skills

Strong organizational and multitasking skills with attention to detail.
Excellent communication and interpersonal skills.
Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint) and familiarity with office management tools.
Ability to manage time effectively and work well under pressure.
Problem-solving abilities and resourcefulness to handle administrative challenges.
Familiarity with IT infrastructure and office equipment.
Experience using administrative management software (e.g., Teams, Slack, Google Workspace).
Knowledge of budgeting, procurement, and vendor management
Must understand HR functions and have experience in payroll management.

Education and Experience

Bachelor's degree in business administration, Office Management, or related field (preferred but not mandatory).
2+ years of experience in office administration or related roles.

Analytical and Personal Skills

Good listening skills, confidence, Multitasking ability, Time management skill
Attention to details
Positive and cheerful outlook
Team management skills & result driven approach
Good Communication skills in English – both written and verbal
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Human Resources
Industries
Software Development
Referrals increase your chances of interviewing at GrowExx by 2x
See who you know",LinkedIn,,
DH - Finance & Accounts,Aditya Birla Group,"Bharuch, Gujarat, India",https://in.linkedin.com/jobs/view/dh-finance-accounts-at-aditya-birla-group-4167023362?position=2&pageNum=0&refId=%2BQFmj1OBG1KMkPequz8nig%3D%3D&trackingId=IvZ0DhhOb7go8MJREjyVUQ%3D%3D,"Undertaking feasibility study for projects and preparing CAPEX and working capital
Partnering in the annual budgeting and forecasting exercise
Operational Excellence:- Preparing the monthly, quarterly and annual consolidated financial statements in compliance with Indian GAAP and SEBI requirement for publication.
Monitoring passing of bills and scrutinizing accounting transactions of IGT Site at regular intervals and ensuring corrective action
Undertaking raw material accounting
Undertaking tax accounting
Undertaking risk management and hedge accountingas per Ind AS 30
Undertaking valuation of stock and embedded derivatives
Collating inputs from Risk Management Team as well as Project Department and supervising updating of accounts and related data on hedging into internal software.
Monitoring implementation of CAPEX budgets for maximization of revenue through CAPEX accounting including planning and budgeting, controlling, capitalization, maintenance of fixtures and registration of CAPEX expenditure
Compliance :- Monitoring the variability of external factors (exchange rates) in FOREX transactions in order to determine its impact on valuation of inventory and ensure statutory compliance.
Analyzing output generated by software and corroborate with Risk Management Team as well as Project Team to ensure alignment on accounting for hedging transactions
Monitoring cash flows and impacting corrective action
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Finance and Sales
Industries
Executive Offices
Referrals increase your chances of interviewing at Aditya Birla Group by 2x
See who you know",LinkedIn,,
LIC FINANCIAL ADVISER,LIC,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/lic-financial-adviser-at-lic-4151768807?position=1&pageNum=0&refId=tCT66MkUzXoAOXX1%2F0ybBA%3D%3D&trackingId=%2FhDXHR4nFTMZ71gZe0GYAQ%3D%3D,"Direct message the job poster from LIC
Parag Mehta
Parag Mehta
RECRUITMENT AND TRAINING HEAD | LIC DEVLOPMENT OFFICER| LIC FREELANCE WORK| CONTACT TO BECOME LIC ADVISOR
Company Description

LIC, a state-owned public sector life insurance corporation, is the largest financial institution and insurance organization in India. With a central office in Mumbai and multiple zonal, divisional, and branch offices, LIC serves both urban and rural areas. Established in 1956 by an Act of Parliament, LIC has been a key player in promoting life insurance and financial development in the country.

Role Description

This is a full-time remote role for a LIC Financial Adviser. The Financial Adviser will be responsible for financial planning, retirement planning, investment advice, and providing financial recommendations to clients. The role involves analyzing clients' financial situations, developing personalized financial strategies, and recommending suitable insurance and investment products.

Qualifications

Financial Planning and Finance skills
Retirement Planning and Investments expertise
Financial Advisory experience
Strong analytical and problem-solving skills
Excellent communication and interpersonal abilities
Knowledge of insurance products and regulations
Certifications such as CFP, CFA, or related qualifications are a plus
Show less
Seniority level
Mid-Senior level
Employment type
Other
Job function
Finance and Sales
Industries
Insurance
Referrals increase your chances of interviewing at LIC by 2x
See who you know",LinkedIn,,
Assistant Manager - Microfinance,Bajaj Finserv,"Anand, Gujarat, India",https://in.linkedin.com/jobs/view/assistant-manager-microfinance-at-bajaj-finserv-4024408239?position=2&pageNum=0&refId=tCT66MkUzXoAOXX1%2F0ybBA%3D%3D&trackingId=YJeg09UlxNsGDSjT09%2FhjA%3D%3D,"Location Name: Bhadkad

Job Purpose

“This position is open with Bajaj Finance ltd.”

Duties And Responsibilities

Duties and Responsibilities

Supporting Business Vertical

Identifying cost save and revenue enhancement opportunities and recommending corrective actions to encash the opportunities
Formations, alignments and reengineering of various processes and activities
Calculating the monetary impact of potential business decisions
Budgeting simulations: Reforecast / Long Range Planning / Annual operating Plans
Ad-hoc and why-why analysis of financial and portfolio trends
Sensitivity analysis and New products simulations
Developing various MIS’s and Management review reports


Cost Save And Efficiency Projects

Identify and drive Cost save opportunities in the business or other verticals.
Identifying and optimizing the processes leading to higher efficiency


Required Qualifications And Experience

Qualification and Skill required:

Should be a CA/MBA

Should have 3-4 years of experience in Finance/ Product support role with 1-2 years of experience in financial planning & analysis.
Good Excel skills
Should have collaborative work style to engage with peers & colleagues in other functions across the company.
Should have attitude to challenge status-quo with high degree of passion & belief.
Exceptionally high motivational levels and need to be a self-starter.
Should possess the below skill sets:
Excellent Communication & Interpersonal Skills
Negotiation Skills & influencing skills
Analytical & Problem - Solving skills
Relationship Management skills
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Finance and Sales
Industries
Financial Services
Referrals increase your chances of interviewing at Bajaj Finserv by 2x
See who you know",LinkedIn,,
Business analyst,Larsen & Toubro,"Chorasi, Gujarat, India",https://in.linkedin.com/jobs/view/business-analyst-at-larsen-toubro-4138267712?position=1&pageNum=0&refId=qfDqC0ZYKt%2BW7oPvQLuC0A%3D%3D&trackingId=ZU3N1409nsOWBGUN5Jyw3A%3D%3D,"Knowledge of business processes, like Order to Cash, Procure to Pay, Planning, Supply chain and Manufacturing
Knowledge of SQL Programming , MVC .Net , JAVA , Web designing, Power BI, Low Code platform
IT Project management with waterfall / Agile
Understanding of SDLC (Software development life cycle) and DevOps
Business Process improvement
Co-ordinate with software vendor and getting system developed
Awareness of latest IT technology
Assess company’s processes and inventory to improve efficiency and reduce cost
Investigate pain points within the processes and develop solution to resolve the same
Creativity, Collaboration, Team work
Problem solving, Decision making
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Research, Analyst, and Information Technology
Industries
Executive Offices
Referrals increase your chances of interviewing at Larsen & Toubro by 2x
See who you know",LinkedIn,,
Business Analyst,GrowExx,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/business-analyst-at-growexx-4154052311?position=2&pageNum=0&refId=qfDqC0ZYKt%2BW7oPvQLuC0A%3D%3D&trackingId=gvH9Ec7RQLXCongz65aNYg%3D%3D,"Growexx is seeking a highly analytical Business Analyst, who will be the interface between product management and engineering delivery teams, with the primary task of translating business needs into actionable, engineering-facing requirements, captured as stories in the Agile framework. As a Business Analyst, you will focus on gathering, analyzing, and documenting user requirements to ensure the correct implementation of projects. This role demands collaboration with stakeholders and team members while adhering to organizational processes and best practices.

Key Responsibilities

Gather, document, and analyze user requirements, non-functional requirements (NFRs), and technical requirements.
Ensure Growexx processes are followed.
Proactively communicate with Practice Head, Clients and other stakeholders to ensure sprints are pre-planned and backlog groomed to provide visibility of two sprints.
Be the sole point of contact for team and all stakeholders.
Break down user stories along with the team to identify technical tasks.
Provide detailed estimates before the start of the sprints. Need to work with the team to get the estimates.
Proactively pre-plan the sprints to achieve 90+% confidence of delivery.
Provide daily updates of the team to various stakeholders.
Provide HL estimates for any new projects by working closely with L3s, POs and Practice Head.
Proactively communicate with other members of the team and other project leads.

Key Skills

Responsible to ANALYSE system requirements end-to-end.
Create UML diagrams, mind maps & process flows.
Responsible to write Good User Stories using INVEST technique.
Define User Acceptance Criteria.
Estimate product backlog with the team using Agile estimation techniques.
Create wireframe prototypes and documenting them using Figma, Visio, Axure or similar tools.
Document all the system requirements in Jira and Confluence.
Has worked on Enterprise level project with an international client.
Experience working in Agile Team and a working understanding of Scrum & Kanban.

Education and Experience

B Tech or B. E. with 2+ years of relevant experience as a business analyst working on a B2C or B2B product.
Scrum Certified, ISEB or SAFe certified.

Analytical and Personal skills

Must have high logical reasoning and analytical skills
Ability to translate technical details into business language and vice versa.
Able to break big goals to small incremental actions
Strong verbal and written communication skills to interact with stakeholders effectively
Demonstrate Ownership and Accountability of their work
Good negotiation skills and be able to make informed decisions
Be able to criticize own actions and learn from mistakes
Strong team player with the ability to work with cross-functional teams
Attention to details
Capability to handle multiple tasks simultaneously and meet deadlines
Positive and cheerful outlook in life
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Research, Analyst, and Information Technology
Industries
Software Development
Referrals increase your chances of interviewing at GrowExx by 2x
See who you know",LinkedIn,,
Executive (Accounts),Larsen & Toubro,"Vadodara, Gujarat, India",https://in.linkedin.com/jobs/view/executive-accounts-at-larsen-toubro-4114700737?position=1&pageNum=0&refId=yMKgeR4eg7zV4HrtfFGOhg%3D%3D&trackingId=RARMIwkBaEX9Vp2moexS8Q%3D%3D,"Prepare and maintain project budgets, forecasts, and financial reports.
Monitor and analyze project costs, ensuring they align with budgets and identifying variances.
Process and review subcontractor and vendor invoices, ensuring accuracy and compliance with contract terms.
Track and record job cost entries, including labor, materials, and overhead costs.
Generate and review financial statements and reports for construction projects.
Prepare and present regular financial reports to project managers and senior management.
Conduct cost analysis and financial reviews to support decision-making.
Ensure compliance with accounting principles, company policies, and regulatory requirements.
Implement and maintain internal controls to safeguard company assets and ensure accurate financial reporting.
Assist with audits by providing necessary documentation and information.
Show less
Seniority level
Executive
Employment type
Full-time
Job function
Business Development and Sales
Industries
Executive Offices
Referrals increase your chances of interviewing at Larsen & Toubro by 2x
See who you know",LinkedIn,,
Business analyst,Larsen & Toubro,"Chorasi, Gujarat, India",https://in.linkedin.com/jobs/view/business-analyst-at-larsen-toubro-4138267712?position=2&pageNum=0&refId=yMKgeR4eg7zV4HrtfFGOhg%3D%3D&trackingId=4DeMDwc4KFyhSCir7sU09w%3D%3D,"Knowledge of business processes, like Order to Cash, Procure to Pay, Planning, Supply chain and Manufacturing
Knowledge of SQL Programming , MVC .Net , JAVA , Web designing, Power BI, Low Code platform
IT Project management with waterfall / Agile
Understanding of SDLC (Software development life cycle) and DevOps
Business Process improvement
Co-ordinate with software vendor and getting system developed
Awareness of latest IT technology
Assess company’s processes and inventory to improve efficiency and reduce cost
Investigate pain points within the processes and develop solution to resolve the same
Creativity, Collaboration, Team work
Problem solving, Decision making
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Research, Analyst, and Information Technology
Industries
Executive Offices
Referrals increase your chances of interviewing at Larsen & Toubro by 2x
See who you know",LinkedIn,,
